age,income,city,gender,notes,id,target
62,57391.39087123696,NY,F,some free text here about 0,0,0
65,51351.691864757115,NY,F,some free text here about 1,1,0
71,35036.48691742936,SF,M,some free text here about 2,2,0
18,37999.426784078605,Chicago,F,some free text here about 3,3,1
21,53106.13361081912,NY,F,some free text here about 4,4,0
77,57851.94540783922,NY,F,some free text here about 5,5,0
21,39509.077680011156,SF,M,some free text here about 6,6,0
57,63705.58711125355,NY,F,some free text here about 7,7,0
27,39908.2282334205,NY,F,some free text here about 8,8,0
37,51999.86746246673,SF,F,some free text here about 9,9,0
39,56403.440305058466,NY,M,some free text here about 10,10,0
68,49807.259124098986,NY,F,some free text here about 11,11,0
54,44716.27541115965,SF,F,some free text here about 12,12,0
41,62291.99912559355,NY,M,some free text here about 13,13,0
24,57829.81594408096,SF,F,some free text here about 14,14,0
42,,NY,M,some free text here about 15,15,0
42,44262.706798782936,Chicago,F,some free text here about 16,16,0
30,60374.92877554738,Chicago,F,some free text here about 17,17,0
76,55308.27517212825,NY,M,some free text here about 18,18,0
19,65713.78006126721,Chicago,M,some free text here about 19,19,0
56,43641.55649598874,Chicago,F,some free text here about 20,20,1
57,-2721.521786529025,Chicago,F,some free text here about 21,21,0
41,29852.64904543174,SF,F,some free text here about 22,22,0
64,71382.5918991912,Chicago,F,some free text here about 23,23,0
42,,LA,F,some free text here about 24,24,0
35,46135.04360919835,SF,M,some free text here about 25,25,0
55,50755.560742842106,LA,F,some free text here about 26,26,0
43,29296.836874251265,Chicago,M,some free text here about 27,27,0
31,46074.918995114764,Chicago,F,some free text here about 28,28,0
26,47309.30460675101,LA,F,some free text here about 29,29,0
27,39608.441351373964,NY,F,some free text here about 30,30,0
38,67067.40298445677,Chicago,M,some free text here about 31,31,0
69,47462.64123287127,SF,F,some free text here about 32,32,0
34,38541.294916587474,LA,F,some free text here about 33,33,1
69,42528.90346088261,LA,M,some free text here about 34,34,0
23,,Chicago,M,some free text here about 35,35,0
33,53959.40463433688,LA,F,some free text here about 36,36,0
65,40555.37136366481,LA,F,some free text here about 37,37,0
18,42916.12393737921,SF,F,some free text here about 38,38,0
36,27299.58444124863,NY,F,some free text here about 39,39,0
53,66614.37017112397,NY,M,some free text here about 40,40,1
42,52643.58128474189,LA,M,some free text here about 41,41,0
67,35894.696866769395,NY,F,some free text here about 42,42,0
69,63943.91492589793,LA,M,some free text here about 43,43,0
47,34058.07618829206,NY,M,some free text here about 44,44,0
37,36703.90598049274,NY,M,some free text here about 45,45,0
37,78820.20433041762,SF,M,some free text here about 46,46,0
32,43103.29214456406,LA,M,some free text here about 47,47,0
57,33664.48347144325,SF,F,some free text here about 48,48,0
50,64761.75939654145,Chicago,F,some free text here about 49,49,0
19,32611.905128407423,NY,M,some free text here about 50,50,1
27,43451.9436103588,Chicago,F,some free text here about 51,51,1
75,65138.66796371835,LA,M,some free text here about 52,52,0
50,60700.843557793065,LA,M,some free text here about 53,53,0
49,,LA,M,some free text here about 54,54,0
28,62592.746870613715,Chicago,M,some free text here about 55,55,0
70,68585.31468509653,Chicago,M,some free text here about 56,56,0
41,23227.94169872422,LA,F,some free text here about 57,57,1
53,38057.21241252878,LA,F,some free text here about 58,58,0
29,28991.880989756537,Chicago,F,some free text here about 59,59,0
68,47234.74135038455,LA,F,some free text here about 60,60,0
73,29132.10327040143,NY,F,some free text here about 61,61,0
46,50543.89612540386,LA,F,some free text here about 62,62,0
52,37783.916579627505,NY,F,some free text here about 63,63,1
18,,SF,M,some free text here about 64,64,0
18,23938.56143501985,Chicago,F,some free text here about 65,65,0
54,51737.835468396115,NY,F,some free text here about 66,66,0
71,55484.771685640444,Chicago,M,some free text here about 67,67,0
23,48891.14801528819,Chicago,F,some free text here about 68,68,0
56,42597.236431241596,SF,M,some free text here about 69,69,0
58,96522.95876144976,LA,F,some free text here about 70,70,0
70,,NY,M,some free text here about 71,71,0
35,32678.367088895724,NY,F,some free text here about 72,72,0
33,64127.51507261681,NY,M,some free text here about 73,73,0
22,45767.97287594122,SF,F,some free text here about 74,74,0
59,35365.180014914426,LA,M,some free text here about 75,75,0
60,51472.800362528746,Chicago,F,some free text here about 76,76,1
76,63582.349297842666,Chicago,F,some free text here about 77,77,0
49,65281.121553502715,NY,M,some free text here about 78,78,0
74,48276.51718958301,Chicago,M,some free text here about 79,79,1
19,76145.58080103986,SF,F,some free text here about 80,80,0
19,,NY,F,some free text here about 81,81,0
57,62443.566404665886,NY,F,some free text here about 82,82,0
59,46890.23004240719,NY,M,some free text here about 83,83,0
75,66769.97911092352,NY,M,some free text here about 84,84,0
53,,SF,M,some free text here about 85,85,0
56,67269.9475191195,Chicago,M,some free text here about 86,86,0
73,,LA,M,some free text here about 87,87,0
29,30595.485813589385,LA,M,some free text here about 88,88,0
64,,NY,F,some free text here about 89,89,0
36,56360.827976644505,SF,M,some free text here about 90,90,0
45,42714.85740797108,LA,F,some free text here about 91,91,0
18,,LA,M,some free text here about 92,92,1
32,58505.84558051303,Chicago,M,some free text here about 93,93,0
53,66017.50362907024,NY,M,some free text here about 94,94,0
71,54073.93611199944,Chicago,F,some free text here about 95,95,0
30,,Chicago,M,some free text here about 96,96,1
75,49120.61007251354,NY,F,some free text here about 97,97,0
60,68848.57100432456,SF,F,some free text here about 98,98,1
38,54451.20794594276,Chicago,M,some free text here about 99,99,0
29,55978.7859024927,LA,M,some free text here about 100,100,0
22,34202.384300793776,NY,M,some free text here about 101,101,0
24,40407.85599957999,SF,F,some free text here about 102,102,0
22,47772.0967923992,SF,F,some free text here about 103,103,0
65,26381.267797686418,SF,M,some free text here about 104,104,0
70,42564.67703769752,LA,M,some free text here about 105,105,0
21,,Chicago,M,some free text here about 106,106,1
30,55596.802411089135,Chicago,F,some free text here about 107,107,0
54,44209.56843456758,LA,F,some free text here about 108,108,0
70,,LA,M,some free text here about 109,109,0
58,20625.925857421524,SF,M,some free text here about 110,110,0
32,42230.55970801208,SF,M,some free text here about 111,111,0
33,58696.98194032068,Chicago,F,some free text here about 112,112,0
38,29694.007413767224,NY,F,some free text here about 113,113,0
53,39207.10001631427,Chicago,F,some free text here about 114,114,0
76,48220.75823843428,Chicago,M,some free text here about 115,115,0
41,37878.259171385944,Chicago,F,some free text here about 116,116,0
33,39216.33581456114,Chicago,M,some free text here about 117,117,0
31,41396.84117710899,NY,F,some free text here about 118,118,0
71,44244.84221233318,LA,M,some free text here about 119,119,0
39,54374.51060201083,Chicago,F,some free text here about 120,120,0
66,,LA,F,some free text here about 121,121,0
67,49721.68632285738,NY,M,some free text here about 122,122,1
23,51500.55927215986,LA,F,some free text here about 123,123,0
59,56421.21426585465,NY,M,some free text here about 124,124,0
53,34403.18219669117,NY,F,some free text here about 125,125,0
